,PCR,수정주가,CPS,code,year
"2021/12(IFRS연결)
													
													연간컨센서스보기",142.00,"138,300",974,263750,2021
2017/12(IFRS연결),10.77,"5,270",489,028670,2017
2018/12(IFRS연결),8.86,"4,445",501,028670,2018
2019/12(IFRS연결),6.00,"4,545",757,028670,2019
2020/12(IFRS연결),5.70,"5,020",880,028670,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.77,"5,410","1,436",028670,2021
2017/12(IFRS연결),21.21,"140,675","6,634",002790,2017
2018/12(IFRS연결),8.83,"72,533","8,219",002790,2018
2019/12(IFRS연결),8.89,"82,700","9,300",002790,2019
2020/12(IFRS연결),7.91,"54,900","6,938",002790,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",5.58,"44,350","7,944",002790,2021
2017/12(IFRS연결),1.57,"42,550","27,164",036460,2017
2018/12(IFRS연결),77.94,"48,200",618,036460,2018
2019/12(IFRS연결),1.76,"37,850","21,512",036460,2019
2020/12(IFRS연결),0.88,"30,900","35,217",036460,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-1.74,"39,100","-22,430",036460,2021
2017/12(IFRS연결),16.39,"84,900","5,179",008775,2017
